  TRADE LOG — 3x 15% max5
================================================================================
          Date       Symbol               Signal   Alloc$     PnL%      PnL$     Equity
    2024-12-05      XRPUSDT           fund_spike $    360   -25.4%      -91$ $    2,212
    2024-12-06   RENDERUSDT           fund_spike $    332    +0.0%       +0$ $    2,212
    2024-12-06      TRXUSDT           fund_spike $    332    +6.5%      +22$ $    2,234
    2024-12-06      BNBUSDT        overextension $    332    +0.6%       +2$ $    2,236
    2024-12-09     DOGEUSDT       vol_divergence $    335    +0.0%       +0$ $    2,236
    2024-12-09      DOTUSDT             overheat $    335    +0.0%       +0$ $    2,236
    2024-12-10      XRPUSDT    liq_short_squeeze $    335    +4.4%      +15$ $    2,251
    2024-12-18      LTCUSDT       div_squeeze_3d $    338    -2.1%       -7$ $    2,244
    2024-12-19      ENAUSDT       vol_divergence $    337    +0.0%       +0$ $    2,244
    2024-12-20      UNIUSDT           div_top_1d $    337   -24.0%      -81$ $    2,163
    2024-12-20      SEIUSDT           div_top_1d $    337   -24.0%      -81$ $    2,082
    2024-12-20     LINKUSDT           div_top_1d $    337   -24.0%      -81$ $    2,001
    2025-01-19      SUIUSDT       div_squeeze_3d $    300    +0.5%       +1$ $    2,003
    2025-01-27      JUPUSDT    liq_short_squeeze $    300   +15.1%      +45$ $    2,048
    2025-01-29      WIFUSDT           div_top_1d $    307   -24.0%      -74$ $    1,974
    2025-01-27      SUIUSDT           div_top_1d $    300   +83.4%     +251$ $    2,225
    2025-02-03      XRPUSDT           div_top_1d $    334   -24.0%      -80$ $    2,145
    2025-03-03      SOLUSDT       vol_divergence $    322    +0.0%       +0$ $    2,145
    2025-02-03     LINKUSDT           div_top_1d $    334   +72.4%     +242$ $    2,387
    2025-03-04      XRPUSDT           div_top_1d $    322   +47.7%     +154$ $    2,540
    2025-03-09      ADAUSDT       div_squeeze_3d $    358   +67.8%     +243$ $    2,783
    2025-05-08      LTCUSDT    liq_short_squeeze $    417   +30.1%     +126$ $    2,908
    2025-05-08      BNBUSDT    liq_short_squeeze $    417   +16.0%      +67$ $    2,975
    2025-05-13      ETHUSDT    liq_short_squeeze $    446    -3.7%      -16$ $    2,959
    2025-05-23      TIAUSDT       div_squeeze_3d $    444   -24.0%     -107$ $    2,852
    2025-06-12      UNIUSDT         distribution $    428   +15.0%      +64$ $    2,916
    2025-06-21      SEIUSDT    liq_short_squeeze $    437   -24.0%     -105$ $    2,811
    2025-07-09      ETHUSDT    liq_short_squeeze $    422   +21.4%      +90$ $    2,901
    2025-07-11      XRPUSDT    liq_short_squeeze $    422    +3.8%      +16$ $    2,918
    2025-07-09      ADAUSDT    liq_short_squeeze $    422   +55.8%     +235$ $    3,153
    2025-07-18      XRPUSDT           fund_spike $    473   -13.1%      -62$ $    3,091
    2025-07-18      TRXUSDT        overextension $    473    +8.9%      +42$ $    3,133
    2025-07-21      ENAUSDT    liq_short_squeeze $    470   -24.0%     -113$ $    3,020
    2025-07-18       OPUSDT    liq_short_squeeze $    473   -24.0%     -114$ $    2,907
    2025-07-28      BNBUSDT        overextension $    436   +11.9%      +52$ $    2,958
    2025-07-29      TRXUSDT        overextension $    436   +12.0%      +52$ $    3,011
    2025-08-11      UNIUSDT     oi_buildup_stall $    452   -24.0%     -108$ $    2,902
    2025-08-07      ENAUSDT    liq_short_squeeze $    452   +65.3%     +295$ $    3,197
    2025-08-08      UNIUSDT    liq_short_squeeze $    452   -24.0%     -108$ $    3,088
    2025-08-25      SOLUSDT       vol_divergence $    463   +27.2%     +126$ $    3,214
    2025-08-28      SOLUSDT        overextension $    482    +0.0%       +0$ $    3,214
    2025-09-17      BNBUSDT    liq_short_squeeze $    482    +1.7%       +8$ $    3,222
    2025-09-19      SOLUSDT     oi_buildup_stall $    483   +39.3%     +190$ $    3,413
    2025-10-02      BNBUSDT    liq_short_squeeze $    512   +22.0%     +113$ $    3,525
    2025-10-04      BNBUSDT        overextension $    529   -10.2%      -54$ $    3,471
    2025-09-07      TRXUSDT           div_top_1d $    482    -5.9%      -29$ $    3,442
    2025-10-07      BNBUSDT    liq_short_squeeze $    516  -100.0%     -516$ $    2,926
    2025-10-10      BNBUSDT       vol_divergence $    439    +0.0%       +0$ $    2,926
    2025-10-10      APTUSDT       vol_divergence $    439    +0.0%       +0$ $    2,926
    2025-10-11      JUPUSDT           div_top_1d $    439   -24.0%     -105$ $    2,821
    2025-10-11      TONUSDT           div_top_1d $    439   -24.0%     -105$ $    2,715
    2025-11-03     ATOMUSDT        fund_reversal $    407   +16.8%      +68$ $    2,784
    2025-11-04      SUIUSDT       div_squeeze_3d $    407   -24.0%      -98$ $    2,686
    2025-11-08     NEARUSDT    liq_short_squeeze $    403   -11.6%      -47$ $    2,639
    2025-10-12     AVAXUSDT           div_top_1d $    407   +73.2%     +298$ $    2,937
    2026-01-13      ETHUSDT    liq_short_squeeze $    441    +2.4%      +10$ $    2,948
    2026-02-05     ATOMUSDT       div_squeeze_3d $    442   -24.0%     -106$ $    2,842
    2026-02-11      UNIUSDT       div_squeeze_3d $    426   -24.0%     -102$ $    2,739
    2026-01-15      LTCUSDT       div_squeeze_3d $    442   +67.4%     +298$ $    3,037
    2026-02-22      INJUSDT        fund_reversal $    456   -21.8%      -99$ $    2,938
